code,stock_name,balanced_exit_historical_profile,signal_count,avg_balanced_exit_net_return_60d,win_rate_balanced_exit_60d,avg_balanced_exit_max_drawdown_250d,source_signal_details,generated_at,rule
601012,隆基绿能,FAILED,434,-1.6276,23.0415,-11.5279,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
601225,陕西煤业,DEGRADED,14,13.3604,100.0,-5.5935,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,signals<10 => NOT_AVAILABLE; signals 10-19 max DEGRADED; signals>=20 and avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
601633,长城汽车,DEGRADED,446,-1.9848,33.6323,-11.3671,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
601877,正泰电器,DEGRADED,510,0.6436,32.9412,-9.531,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
601888,中国中免,DEGRADED,392,0.7574,33.1633,-9.8985,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
601899,紫金矿业,DEGRADED,52,7.537,38.4615,-11.8928,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
601919,中远海控,DEGRADED,233,0.3046,44.6352,-8.4518,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
601985,中国核电,FAILED,36,-5.8114,0.0,-8.0429,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
603259,药明康德,PASSED,400,12.4088,59.0,-11.2246,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
603288,海天味业,FAILED,760,-2.3808,13.0263,-9.5596,reports/genge_industry_evidence_final/20260704_114820/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
603986,兆易创新,DEGRADED,226,0.9689,46.0177,-12.1238,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
603993,洛阳钼业,PASSED,94,32.7215,91.4894,-9.5006,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
688599,天合光能,FAILED,8,-8.0115,0.0,-9.4657,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
688981,中芯国际,PASSED,176,7.9521,47.7273,-7.7892,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
