,TRUE_BUYHOLD_single_600845
2020-05-11,7.610268292682926
2020-05-12,7.719914634146342
2020-05-13,7.821439024390244
2020-05-14,7.675243902439024
2020-05-15,7.959512195121952
2020-05-18,7.975756097560976
2020-05-19,8.162560975609757
2020-05-20,7.833621951219512
2020-05-21,7.829560975609756
2020-05-22,7.687426829268293
2020-05-25,7.736158536585366
2020-05-26,8.121951219512196
2020-05-27,7.760524390243902
2020-05-28,7.975756097560976
2020-05-29,8.109768292682926
2020-06-01,8.235658536585365
2020-06-02,7.75240243902439
2020-06-03,7.951390243902439
2020-06-04,7.894536585365854
2020-06-05,7.947329268292683
2020-06-08,7.650878048780488
2020-06-09,7.902658536585366
2020-06-10,7.8376829268292685
2020-06-11,7.866109756097562
2020-06-12,7.75240243902439
2020-06-15,7.500621951219512
2020-06-16,7.829560975609756
2020-06-17,7.687426829268293
2020-06-18,7.667121951219512
2020-06-19,7.943268292682927
2020-06-22,8.061036585365855
2020-06-23,8.81231707317073
2020-06-24,8.507743902439024
2020-06-29,8.398097560975609
2020-06-30,8.588963414634147
2020-07-01,8.280329268292684
2020-07-02,8.134134146341463
2020-07-03,8.089463414634146
2020-07-06,8.37779268292683
2020-07-07,8.759524390243904
2020-07-08,9.762585365853658
2020-07-09,10.128073170731708
2020-07-10,10.74940243902439
2020-07-13,10.871231707317074
2020-07-14,10.737219512195121
2020-07-15,10.424524390243903
2020-07-16,10.046853658536586
2020-07-17,10.351426829268291
2020-07-20,10.448890243902438
2020-07-21,10.578841463414635
2020-07-22,10.70879268292683
2020-07-23,10.810317073170733
2020-07-24,10.493560975609755
2020-07-27,10.213353658536585
2020-07-28,10.444829268292683
2020-07-29,10.976817073170732
2020-07-30,10.436707317073171
2020-07-31,10.619451219512195
2020-08-03,10.712853658536584
2020-08-04,10.566658536585367
2020-08-05,11.752463414634148
2020-08-06,11.078341463414635
2020-08-07,10.769707317073172
2020-08-10,10.37579268292683
2020-08-11,10.124012195121951
2020-08-12,9.884414634146342
2020-08-13,9.855987804878048
2020-08-14,10.050914634146341
2020-08-17,9.977817073170732
2020-08-18,10.119951219512195
2020-08-19,9.860048780487807
2020-08-20,9.912841463414635
2020-08-21,9.815378048780488
2020-08-24,10.392036585365853
2020-08-25,10.205231707317072
2020-08-26,10.310817073170734
2020-08-27,10.566658536585367
2020-08-28,10.716914634146342
2020-08-31,10.331121951219512
2020-09-01,10.347365853658536
2020-09-02,10.639756097560976
2020-09-03,10.680365853658538
2020-09-04,10.37579268292683
2020-09-07,10.274268292682928
2020-09-08,9.929085365853659
2020-09-09,9.945329268292683
2020-09-10,9.762585365853658
2020-09-11,10.180865853658537
2020-09-14,10.481378048780488
2020-09-15,10.493560975609755
2020-09-16,10.436707317073171
2020-09-17,10.347365853658536
2020-09-18,10.36360975609756
2020-09-21,10.152439024390244
2020-09-22,9.981878048780487
2020-09-23,10.278329268292683
2020-09-24,10.27020731707317
2020-09-25,10.481378048780488
2020-09-28,10.619451219512195
2020-09-29,10.806256097560976
2020-09-30,10.80219512195122
2020-10-09,11.163621951219511
2020-10-12,11.187987804878048
2020-10-13,11.338243902439025
2020-10-14,10.229597560975611
2020-10-15,10.233658536585367
2020-10-16,10.452951219512194
2020-10-19,9.91690243902439
2020-10-20,10.128073170731708
2020-10-21,9.904719512195124
2020-10-22,9.762585365853658
2020-10-23,9.068158536585365
2020-10-26,9.092524390243902
2020-10-27,9.194048780487805
2020-10-28,9.547353658536586
2020-10-29,9.486439024390243
2020-10-30,9.332121951219513
2020-11-02,9.068158536585365
2020-11-03,9.133134146341463
2020-11-04,9.242780487804877
2020-11-05,9.620451219512196
2020-11-06,9.360548780487806
2020-11-09,9.61639024390244
2020-11-10,9.279329268292683
2020-11-11,9.015365853658535
2020-11-12,8.722975609756098
2020-11-13,8.89759756097561
2020-11-16,9.417402439024391
2020-11-17,8.926024390243903
2020-11-18,8.81231707317073
2020-11-19,9.19810975609756
2020-11-20,9.120951219512197
2020-11-23,9.096585365853658
2020-11-24,9.055975609756098
2020-11-25,8.767646341463415
2020-11-26,8.775768292682928
2020-11-27,8.739219512195122
2020-11-30,8.8245
2020-12-01,8.81231707317073
2020-12-02,8.727036585365852
2020-12-03,9.096585365853658
2020-12-04,9.039731707317074
2020-12-07,9.40928048780488
2020-12-08,9.421463414634147
2020-12-09,9.14937804878049
2020-12-10,9.42958536585366
2020-12-11,9.275268292682927
2020-12-14,8.982878048780488
2020-12-15,9.360548780487806
2020-12-16,9.368670731707319
2020-12-17,9.263085365853657
2020-12-18,9.210292682926829
2020-12-21,9.470195121951221
2020-12-22,9.52298780487805
2020-12-23,9.689487804878048
2020-12-24,9.778829268292682
2020-12-25,9.303695121951218
2020-12-28,9.657000000000002
2020-12-29,9.640756097560976
2020-12-30,9.734158536585365
2020-12-31,10.241780487804878
2021-01-04,10.379853658536586
2021-01-05,10.323
2021-01-06,9.868170731707318
2021-01-07,9.40928048780488
2021-01-08,9.42958536585366
2021-01-11,9.064097560975611
2021-01-12,9.161560975609756
2021-01-13,8.828560975609754
2021-01-14,9.226536585365855
2021-01-15,8.958512195121951
2021-01-18,9.226536585365855
2021-01-19,9.324
2021-01-20,9.592024390243902
2021-01-21,9.758524390243904
2021-01-22,9.141256097560976
2021-01-25,9.543292682926829
2021-01-26,9.470195121951221
2021-01-27,9.827560975609757
2021-01-28,9.693548780487804
2021-01-29,9.84380487804878
2021-02-01,9.37679268292683
2021-02-02,10.018426829268293
2021-02-03,10.038731707317073
2021-02-04,9.778829268292682
2021-02-05,9.96969512195122
2021-02-08,9.851926829268294
2021-02-09,10.258024390243904
2021-02-10,9.84380487804878
2021-02-18,10.107768292682929
2021-02-19,9.478317073170732
2021-02-22,9.17780487804878
2021-02-23,8.926024390243903
2021-02-24,8.796073170731708
2021-02-25,8.255963414634145
2021-02-26,8.288451219512195
2021-03-01,8.41028048780488
2021-03-02,8.227536585365854
2021-03-03,8.442768292682926
2021-03-04,7.744280487804878
2021-03-05,7.841743902439024
2021-03-08,7.614329268292683
2021-03-09,7.330060975609756
2021-03-10,7.240719512195121
2021-03-11,7.3178780487804875
2021-03-12,7.256963414634146
2021-03-15,7.220414634146342
2021-03-16,7.342243902439024
2021-03-17,7.829560975609756
2021-03-18,7.833621951219512
2021-03-19,7.801134146341464
2021-03-22,7.780829268292683
2021-03-23,7.874231707317074
2021-03-24,7.870170731707317
2021-03-25,8.081341463414635
2021-03-26,8.166621951219511
2021-03-29,8.109768292682926
2021-03-30,8.45901219512195
2021-03-31,8.483378048780487
2021-04-01,8.389975609756098
2021-04-02,8.227536585365854
2021-04-06,8.528048780487806
2021-04-07,8.45901219512195
2021-04-08,8.71079268292683
2021-04-09,8.511804878048782
2021-04-12,8.30469512195122
2021-04-13,8.365609756097562
2021-04-14,8.873231707317073
2021-04-15,8.946329268292683
2021-04-16,9.076280487804878
2021-04-19,9.242780487804877
2021-04-20,9.344304878048781
2021-04-21,9.27120731707317
2021-04-22,9.657000000000002
2021-04-23,9.575780487804877
2021-04-26,9.242780487804877
2021-04-27,9.393036585365854
2021-04-28,9.360548780487806
2021-04-29,9.336182926829268
2021-04-30,9.311817073170731
2021-05-06,9.575780487804877
2021-05-07,9.307756097560977
2021-05-10,9.283390243902438
2021-05-11,9.453951219512197
2021-05-13,8.982878048780488
2021-05-14,8.783890243902439
2021-05-17,9.336182926829268
2021-05-18,9.246841463414635
2021-05-19,9.165621951219514
2021-05-20,9.092524390243902
2021-05-21,9.055975609756098
2021-05-24,9.661060975609756
2021-05-25,9.86410975609756
2021-05-26,9.697609756097561
2021-05-27,9.774768292682927
2021-05-28,9.734158536585365
2021-05-31,9.811317073170732
2021-06-01,9.742280487804878
2021-06-02,9.514865853658538
2021-06-03,9.360548780487806
2021-06-04,9.19810975609756
2021-06-07,9.543292682926829
2021-06-08,9.37679268292683
2021-06-09,9.52298780487805
2021-06-10,9.697609756097561
2021-06-11,9.860048780487807
2021-06-15,9.726036585365854
2021-06-16,9.67730487804878
2021-06-17,9.795073170731706
2021-06-18,9.786951219512195
2021-06-21,9.786951219512195
2021-06-22,9.506743902439023
2021-06-23,9.535170731707318
2021-06-24,9.486439024390243
2021-06-25,9.45801219512195
2021-06-28,9.84380487804878
2021-06-29,9.925024390243903
2021-06-30,9.925024390243903
2021-07-01,10.859048780487804
2021-07-02,10.968695121951221
2021-07-05,11.504743902439024
2021-07-06,11.411341463414635
2021-07-07,11.35448780487805
2021-07-08,11.175804878048782
2021-07-09,10.879353658536585
2021-07-12,11.50880487804878
2021-07-13,11.659060975609757
2021-07-14,11.516926829268293
2021-07-15,11.679365853658537
2021-07-16,11.898658536585366
2021-07-19,11.906780487804879
2021-07-20,11.963634146341464
2021-07-21,12.170743902439023
2021-07-22,12.117951219512197
2021-07-23,12.243841463414634
2021-07-26,12.26008536585366
2021-07-27,13.011365853658535
2021-07-28,13.669243902439023
2021-07-29,14.66418292682927
2021-07-30,13.37279268292683
2021-08-02,13.77889024390244
2021-08-03,14.388036585365853
2021-08-04,14.615451219512195
2021-08-05,13.734219512195121
2021-08-06,13.425585365853658
2021-08-09,13.851987804878048
2021-08-10,13.791073170731707
2021-08-11,13.458073170731709
2021-08-12,13.54741463414634
2021-08-13,13.047914634146343
2021-08-16,13.198170731707316
2021-08-17,12.755524390243904
2021-08-18,12.897658536585368
2021-08-19,13.502743902439024
2021-08-20,13.937268292682926
2021-08-23,14.635756097560975
2021-08-24,14.936268292682927
2021-08-25,15.102768292682926
2021-08-26,14.684487804878048
2021-08-27,14.611390243902438
2021-08-30,14.128134146341464
2021-08-31,14.132195121951218
2021-09-01,14.063158536585366
2021-09-02,14.684487804878048
2021-09-03,14.899719512195121
2021-09-06,14.85098780487805
2021-09-07,14.660121951219512
2021-09-08,14.282451219512195
2021-09-09,14.318999999999999
2021-09-10,14.37991463414634
2021-09-13,14.055036585365853
2021-09-14,13.839804878048781
2021-09-15,13.921024390243902
2021-09-16,13.559597560975611
2021-09-17,13.563658536585365
2021-09-22,13.738280487804879
2021-09-23,13.37279268292683
2021-09-24,13.819500000000001
2021-09-27,13.307817073170733
2021-09-28,13.648939024390243
2021-09-29,12.865170731707318
2021-09-30,13.198170731707316
